nombre,apellido,edad,estatura
Larina,Tedahl,47,142.55
Tabatha,Feechum,45,190.29
Terri-jo,Kidwell,33,212.9
Kissie,Stoggell,44,151.67
Anthiathia,Bourthoumieux,45,165.01
Aprilette,Gerdts,25,173.89
Brett,Saing,54,210.28
Violetta,O'Flaverty,55,209.26
Caro,Hirjak,27,145.08
Marjory,Bispham,38,141.52
Lulu,Camilleri,37,167.51
Jo-anne,Brook,40,156.86
Nadeen,Miere,11,188.22
Katey,Youngman,29,206.68
Seana,Wildin,33,191.55
Mariann,Faiers,20,177.39
Deedee,Sams,37,211.73
Jacklin,Jiroudek,21,203.38
Natassia,Bockmaster,23,213.12
Fidela,Chaundy,52,193.38
Odelia,Tupling,43,174.81
Dagmar,Vain,50,148.02
Fania,Whettleton,21,187.03
Ulrike,Graben,38,210.23
Mechelle,Ounsworth,22,197.54
Benny,Asbury,42,147.92
Bette,Cotterill,36,174.75
Sydelle,Minger,50,142.74
Lianna,Cardozo,49,155.73
Brinna,Birtwell,55,202.44
Glenda,Claige,38,216.9
Eleonore,Craiker,31,215.84
Jo-ann,Spender,30,195.6
Adelle,Gunson,37,207.02
Willetta,Tourry,30,195.33
Marylou,Loughan,55,166.18
Margalit,Dashper,30,216.76
Liz,Cranch,47,171.06
Catharine,Leethem,52,161.6
Sophey,Waghorn,19,169.8
Noelyn,Piesing,54,143.5
Sibel,Isgate,30,174.69
Klarrisa,Halgarth,22,153.02
Sydney,Olner,44,179.22
Jeanne,Du Pre,15,164.33
Henrietta,Warbeys,24,217.84
Amil,Nurdin,46,181.26
Katerine,Tarbatt,53,214.83
Meridel,Toffalo,55,144.16
Sophie,Blissitt,32,160.26
Janina,Hazley,22,214.26
Kimmy,Greydon,48,218.36
Jolee,Bexley,21,172.44
Camellia,Quinion,19,196.66
Lissy,Botha,48,207.99
Mavis,Farrall,31,145.29
Devondra,Pashe,14,159.0
Aubrey,O' Mulderrig,14,178.74
Marice,Pittendreigh,10,186.82
Carlye,Fairman,12,154.99
Marys,Crutchley,36,187.38
Helena,Crampin,55,202.33
Muriel,Bayston,53,188.16
Cass,Conws,33,153.99
Idalia,Lecount,52,191.79
Morissa,Colquhoun,17,219.0
Faustina,Golly,21,154.95
Natka,Tyhurst,25,161.01
